0,1,2
ward,complete,average
1.1405203621834517,0.9522897822316736,0.9420447344891727
1.0368900645989925,0.9000080919358879,0.936375355347991
1.0301042858045548,0.8949054335244,0.9047679270152003
0.9005525605753064,0.8881281043868512,0.8544116895645857
0.8504724549129605,0.8504724549129605,0.8504585358314216
0.8490478280000389,0.8490478280000389,0.849727496271953
0.8509718915447593,0.8509718915447593,0.8518002422060817
0.8511979973409325,0.8511979973409325,0.8511979973409325
0.8568044789135456,0.8505562795326114,0.8505562795326114
0.8560549018438905,0.850792013341561,0.850792013341561
0.8562516279052943,0.8562516279052943,0.8562516279052943
0.8544186581857502,0.8544186581857502,0.8544186581857502
0.8544186553917825,0.8544186553917825,0.8544186553917825
0.8544186607468873,0.8544186607468873,0.8544186607468873
0.8544186626095325,0.8544186626095325,0.8544186626095325
0.8544186626095325,0.8544186626095325,0.8544186626095325
0.8544186626095325,0.8544186626095325,0.8544186626095325
