ingredient_x1,ingredient_x2,ingredient_x3,Utility_U,Choice_pobability_P
0.3897873,0.2375383,0.3726744,0.7301124331944167,0.4653393020429546
0.6292498,0.1180457,0.2527044,0.648117996077194,0.32047664495846573
0.7009263,0.2000333,0.0990404,0.9438868835455518,0.4560357501978781
0.4262842,0.2569634,0.3167524,0.8076163075608952,0.30993916983967223
0.24607377,0.749005428,0.004920801,1.8497126572037865,0.7139213368491902
0.48413014,0.03588967,0.47998018,0.3258285326392033,0.32912427713418935
0.2913878,0.3591402,0.349472,0.9449692843637405,0.4856894198313583
0.7201046335,0.0009022414,0.278993125,0.43869571960100173,0.4201757737385005
0.4982357,0.2549352,0.2468291,0.8689779481566506,0.5346606979570455
0.007519965,0.636080256,0.356399779,1.3997001969386602,0.6795233550415343
0.2505569,0.4460236,0.3034196,1.1201992049684566,0.5439642498021219
0.154967,0.6877322,0.1573008,1.6080200090183654,0.6900608301603277
0.5415304,0.2635403,0.1949293,0.9352066923972546,0.28607866315080976
0.3639989,0.3727396,0.2632615,1.0379770191446185,0.6708757228658107
0.04235179,0.44510098,0.51254723,1.0022272431380959,0.5143105801686416
0.3279013,0.2701244,0.4019743,0.7607475864120493,0.5798242262614995
